gun,ay,tavg,yagis_turu
17,12,-0.3,0
18,12,-1.6,0
19,12,-2.1,0
20,12,-0.3,1
21,12,1.4,0
22,12,0.9,0
23,12,3.1,0
24,12,1.3,0
25,12,0.2,0
26,12,0.9,1
27,12,2.4,1
28,12,3.1,0
29,12,2.0,0
30,12,0.0,0
31,12,-0.3,2
1,1,-3.7,2
2,1,-6.0,2
3,1,-3.3,2
4,1,0.4,2
7,1,-7.2,2
8,1,-8.7,2
9,1,-7.8,2
10,1,-5.7,2
11,1,-4.6,2
12,1,-4.4,2
13,1,-3.9,2
14,1,4.6,2
15,1,1.7,2
16,1,0.6,2
17,1,2.9,2
19,1,-0.6,2
20,1,-0.7,2
21,1,-1.9,2
22,1,-1.8,2
23,1,2.2,0
24,1,2.4,0
26,1,0.3,0
27,1,-1.9,0
28,1,1.8,0
29,1,0.8,0
30,1,1.7,0
31,1,2.5,0
1,2,1.1,0
2,2,3.4,0
3,2,4.4,0
4,2,9.5,0
5,2,10.0,1
6,2,10.7,0
7,2,10.9,1
9,2,1.5,1
10,2,2.1,0
11,2,1.2,0
12,2,0.8,0
13,2,0.8,0
14,2,0.9,0
15,2,6.6,0
16,2,4.8,0
17,2,4.8,0
18,2,7.4,0
19,2,8.8,1
20,2,7.1,1
21,2,8.5,0
22,2,12.8,0
23,2,13.3,0
24,2,15.7,0
25,2,13.3,1
26,2,8.1,1
27,2,9.9,0
28,2,11.0,0
1,3,13.0,0
2,3,10.2,1
3,3,11.5,0
4,3,12.1,0
5,3,13.4,0
6,3,14.4,0
7,3,14.8,0
8,3,14.7,1
9,3,9.9,1
10,3,10.1,1
11,3,8.6,1
12,3,9.7,1
13,3,6.6,1
14,3,7.8,1
15,3,10.3,0
16,3,9.7,1
17,3,8.4,1
18,3,10.6,0
19,3,13.6,1
20,3,15.3,0
21,3,18.9,0
22,3,16.5,0
23,3,14.9,0
24,3,16.7,0
25,3,16.3,0
26,3,11.4,1
27,3,9.2,1
28,3,12.6,0
29,3,18.6,0
30,3,20.2,0
31,3,15.1,0
1,4,15.1,0
