gun,ay,tavg,yagis_turu
7,2,2.9,0
8,2,-0.5,0
9,2,0.1,0
10,2,4.1,0
11,2,9.5,0
12,2,9.0,0
13,2,8.6,0
14,2,6.5,0
15,2,7.6,0
16,2,6.8,0
17,2,5.4,0
18,2,6.4,0
19,2,7.9,0
20,2,7.1,0
21,2,7.2,0
22,2,5.9,0
23,2,6.2,0
24,2,9.3,0
25,2,9.0,0
26,2,13.0,0
27,2,13.8,0
28,2,7.5,0
29,2,7.0,0
1,3,6.7,0
2,3,12.3,0
3,3,15.6,0
4,3,14.9,0
5,3,12.2,0
6,3,12.1,0
7,3,15.1,0
8,3,15.4,0
9,3,14.9,0
10,3,12.4,0
11,3,11.8,0
12,3,13.3,0
13,3,13.9,0
14,3,13.4,0
15,3,6.6,0
16,3,5.5,0
17,3,5.1,0
18,3,5.5,0
19,3,8.0,0
20,3,11.0,0
21,3,11.9,0
22,3,12.3,0
23,3,7.1,0
24,3,5.7,0
25,3,4.4,0
26,3,8.0,0
27,3,10.1,0
28,3,11.0,0
29,3,13.1,0
30,3,13.9,0
31,3,9.8,0
1,4,6.0,0
2,4,5.7,0
3,4,7.8,0
4,4,7.6,0
5,4,8.6,0
6,4,10.0,0
7,4,10.6,0
8,4,10.6,0
9,4,12.7,0
10,4,15.2,0
11,4,15.4,0
12,4,13.4,0
13,4,12.3,0
14,4,15.5,0
15,4,8.4,0
16,4,10.2,0
17,4,13.5,0
18,4,16.6,0
19,4,18.0,0
20,4,15.9,0
21,4,10.8,0
22,4,11.5,0
23,4,11.2,0
24,4,12.0,0
25,4,12.8,0
26,4,15.7,0
27,4,16.8,0
28,4,17.2,0
29,4,18.1,0
30,4,17.4,0
1,5,17.8,0
2,5,18.1,0
3,5,14.7,0
4,5,12.2,0
5,5,16.9,0
6,5,15.6,0
7,5,14.1,0
8,5,16.6,0
9,5,16.0,0
10,5,18.6,0
11,5,21.4,0
12,5,23.4,0
13,5,20.9,0
14,5,18.8,0
15,5,24.4,0
16,5,24.3,0
17,5,24.0,0
18,5,24.4,0
19,5,22.9,0
20,5,23.7,0
21,5,17.7,0
22,5,16.8,0
23,5,17.0,0
24,5,16.9,0
25,5,18.1,0
26,5,15.5,0
27,5,15.0,0
28,5,16.1,0
29,5,15.5,0
30,5,16.5,0
31,5,17.0,0
1,6,17.2,0
2,6,17.1,0
3,6,17.4,0
4,6,19.0,0
5,6,21.8,0
6,6,22.6,0
7,6,22.2,0
8,6,23.2,0
9,6,24.5,0
10,6,24.9,0
11,6,22.1,0
12,6,20.7,0
13,6,21.5,0
14,6,23.6,0
15,6,24.2,0
16,6,22.8,0
17,6,21.3,0
18,6,21.3,0
19,6,24.2,0
20,6,24.6,0
21,6,22.6,0
22,6,22.1,0
23,6,21.7,0
24,6,23.3,0
25,6,25.0,0
26,6,25.0,0
27,6,25.1,0
28,6,25.7,0
29,6,27.0,0
30,6,28.8,0
1,7,29.4,0
2,7,28.3,0
3,7,28.3,0
4,7,28.6,0
5,7,29.1,0
6,7,29.4,0
7,7,27.1,0
8,7,24.2,0
9,7,23.9,0
10,7,24.4,0
11,7,25.2,0
12,7,26.8,0
13,7,24.3,0
14,7,22.9,0
15,7,22.8,0
16,7,23.9,0
17,7,25.0,0
18,7,25.7,0
19,7,26.4,0
20,7,26.9,0
21,7,27.3,0
22,7,27.7,0
23,7,27.3,0
24,7,26.6,0
25,7,26.3,0
26,7,27.2,0
27,7,27.9,0
28,7,28.9,0
29,7,29.6,0
30,7,30.1,0
31,7,29.9,0
1,8,29.2,0
2,8,26.7,0
3,8,26.0,0
4,8,25.3,0
5,8,25.7,0
6,8,26.4,0
7,8,28.2,0
8,8,28.3,0
9,8,28.0,0
10,8,27.6,0
11,8,27.7,0
12,8,27.1,0
13,8,27.0,0
14,8,26.2,0
15,8,25.7,0
16,8,24.3,0
17,8,24.6,0
18,8,24.7,0
19,8,24.8,0
20,8,24.8,0
21,8,27.5,0
22,8,28.5,0
23,8,27.5,0
24,8,26.8,0
25,8,30.5,0
26,8,26.6,0
27,8,26.9,0
28,8,27.5,0
29,8,27.6,0
30,8,27.6,0
31,8,28.2,0
1,9,26.2,0
2,9,27.4,0
3,9,27.8,0
4,9,24.0,0
5,9,23.9,0
6,9,24.8,0
7,9,26.4,0
8,9,26.5,0
9,9,26.0,0
10,9,24.7,0
11,9,24.0,0
12,9,24.9,0
13,9,25.1,0
14,9,25.2,0
15,9,25.0,0
16,9,24.2,0
17,9,24.2,0
18,9,22.7,0
19,9,20.5,0
20,9,18.8,0
21,9,21.9,0
22,9,21.3,0
23,9,20.8,0
24,9,22.7,0
25,9,23.3,0
26,9,23.1,0
27,9,21.7,0
28,9,21.1,0
29,9,21.9,0
30,9,18.3,0
1,10,18.2,0
2,10,19.4,0
3,10,20.7,0
4,10,22.6,0
5,10,25.2,0
6,10,25.3,0
7,10,25.0,0
8,10,17.1,0
9,10,16.0,0
10,10,18.5,0
11,10,18.4,0
12,10,19.1,0
13,10,19.1,0
14,10,18.5,0
15,10,17.5,0
16,10,20.6,0
17,10,18.7,0
18,10,16.5,0
19,10,14.2,0
20,10,12.5,0
21,10,15.9,0
22,10,15.5,0
23,10,15.9,0
24,10,16.4,0
25,10,16.7,0
26,10,17.1,0
27,10,14.9,0
28,10,16.8,0
29,10,17.3,1
30,10,13.0,0
31,10,12.7,0
1,11,12.4,0
2,11,10.1,0
3,11,12.4,0
4,11,14.1,0
5,11,12.8,0
6,11,12.2,0
7,11,10.6,0
8,11,12.8,0
9,11,12.6,0
10,11,13.1,0
11,11,11.8,0
12,11,12.8,0
13,11,12.0,0
14,11,11.3,0
15,11,10.1,0
16,11,7.8,0
17,11,8.9,0
18,11,11.0,0
19,11,10.2,0
20,11,9.7,0
21,11,7.8,0
22,11,7.0,0
23,11,4.4,0
24,11,5.7,0
25,11,6.0,0
26,11,5.3,0
27,11,4.4,0
28,11,4.8,0
29,11,8.3,0
30,11,6.8,0
1,12,2.5,0
2,12,0.4,0
3,12,1.5,0
4,12,5.3,0
5,12,8.2,0
6,12,10.4,0
7,12,10.5,0
8,12,9.1,0
9,12,7.9,0
10,12,14.0,0
11,12,12.1,0
12,12,11.4,0
13,12,9.4,0
14,12,7.1,0
15,12,7.6,2
16,12,5.6,0
17,12,7.2,0
18,12,6.6,0
19,12,5.2,0
20,12,6.2,0
21,12,6.0,0
22,12,6.4,0
23,12,5.7,0
24,12,5.8,0
25,12,9.6,0
26,12,14.5,0
27,12,12.6,0
28,12,12.4,0
29,12,13.4,0
30,12,14.0,0
31,12,13.7,0
1,1,10.5,0
2,1,7.6,0
3,1,9.6,0
4,1,10.5,0
5,1,18.6,0
6,1,8.7,0
7,1,13.4,0
8,1,15.6,1
9,1,8.5,0
10,1,5.0,0
11,1,7.6,0
12,1,7.5,0
13,1,5.5,0
14,1,3.6,0
15,1,3.2,0
16,1,0.3,0
17,1,-1.3,0
18,1,-2.3,0
19,1,-2.0,0
20,1,-0.1,0
21,1,5.1,0
22,1,7.1,0
23,1,12.0,0
24,1,12.2,2
25,1,11.9,0
26,1,9.4,0
27,1,1.0,0
28,1,1.4,0
29,1,2.2,0
30,1,5.5,0
31,1,7.4,0
1,2,11.8,0
2,2,12.9,0
3,2,9.8,0
4,2,11.7,0
5,2,17.7,0
6,2,11.0,0
7,2,10.5,0
8,2,16.0,0
9,2,14.5,0
10,2,14.3,0
11,2,14.8,0
12,2,2.9,0
13,2,-1.3,0
14,2,-2.9,0
15,2,-1.2,0
16,2,-1.6,0
17,2,-2.3,0
18,2,1.8,0
19,2,3.6,0
20,2,4.3,0
21,2,5.7,0
22,2,4.5,0
23,2,7.5,0
24,2,9.7,0
25,2,8.8,0
26,2,9.4,0
27,2,11.1,0
28,2,9.0,0
1,3,5.3,0
2,3,6.8,0
3,3,6.8,0
4,3,10.7,0
5,3,18.0,0
6,3,9.7,0
7,3,6.1,0
8,3,6.1,0
9,3,8.2,0
10,3,7.6,0
11,3,3.9,0
12,3,3.5,0
13,3,7.8,0
14,3,9.9,0
15,3,12.7,0
16,3,7.3,0
17,3,6.1,0
18,3,7.4,0
19,3,5.3,0
20,3,6.1,0
21,3,5.3,0
22,3,4.8,0
23,3,4.6,0
24,3,2.2,0
25,3,3.3,0
26,3,5.7,0
27,3,7.8,0
28,3,10.5,0
29,3,12.8,0
30,3,9.6,0
31,3,8.5,0
1,4,8.4,0
2,4,10.2,0
3,4,13.9,0
4,4,9.6,0
5,4,16.0,0
6,4,10.8,0
7,4,13.1,0
8,4,4.9,0
9,4,7.0,0
10,4,7.6,0
11,4,9.3,0
12,4,10.9,0
13,4,12.2,0
14,4,13.0,0
15,4,10.6,0
16,4,11.6,0
17,4,11.2,0
18,4,11.8,0
19,4,11.8,0
20,4,11.7,0
21,4,11.4,0
22,4,13.0,0
23,4,15.4,0
24,4,14.1,0
25,4,12.9,0
26,4,12.8,0
27,4,15.2,0
28,4,16.3,0
29,4,17.4,0
30,4,19.6,0
1,5,21.3,0
2,5,22.9,0
3,5,24.2,0
4,5,14.8,0
5,5,17.9,0
6,5,20.7,0
7,5,20.7,0
8,5,18.6,0
9,5,15.0,0
10,5,14.6,0
11,5,14.9,0
12,5,16.2,0
13,5,18.8,0
14,5,18.4,0
15,5,18.5,0
16,5,18.9,0
17,5,19.9,0
18,5,20.5,0
19,5,20.1,0
20,5,20.1,0
21,5,15.8,0
22,5,18.6,0
23,5,20.5,0
24,5,23.4,0
25,5,22.7,0
26,5,21.1,0
27,5,21.8,0
28,5,20.2,0
29,5,20.4,0
30,5,19.6,0
31,5,15.0,0
1,6,17.3,0
2,6,15.5,0
3,6,18.0,0
4,6,19.6,0
5,6,20.6,0
6,6,21.7,0
7,6,21.4,0
8,6,21.0,0
9,6,22.3,0
10,6,21.8,0
11,6,20.6,0
12,6,20.5,0
13,6,20.1,0
14,6,17.5,0
15,6,16.8,0
16,6,19.0,0
17,6,22.4,0
18,6,20.8,0
19,6,22.6,0
20,6,24.3,0
21,6,23.6,0
22,6,25.8,0
23,6,26.6,0
24,6,28.5,0
25,6,34.3,0
26,6,26.1,0
27,6,27.6,0
28,6,27.4,0
29,6,27.4,0
30,6,27.8,0
1,7,28.6,0
2,7,26.2,0
3,7,24.0,0
4,7,24.6,0
5,7,25.8,0
6,7,26.0,0
7,7,27.7,0
8,7,27.0,0
9,7,26.6,0
10,7,25.5,0
11,7,26.8,0
12,7,27.7,0
13,7,28.1,0
14,7,28.4,0
15,7,28.6,0
16,7,28.3,0
17,7,28.5,0
18,7,29.1,0
19,7,29.0,0
20,7,28.0,0
21,7,28.8,0
22,7,25.2,0
23,7,24.8,0
24,7,24.4,0
25,7,24.9,0
26,7,26.2,0
27,7,27.8,0
28,7,29.3,0
29,7,29.8,0
30,7,30.7,0
31,7,35.5,0
1,8,33.8,1
2,8,34.6,0
3,8,35.9,0
4,8,34.2,0
5,8,34.3,0
6,8,30.6,1
7,8,30.1,0
8,8,31.3,0
9,8,31.9,0
10,8,32.7,0
11,8,31.8,0
12,8,32.9,0
13,8,29.7,0
14,8,29.7,0
15,8,30.0,0
16,8,25.5,0
17,8,30.6,0
18,8,31.1,0
19,8,27.3,1
20,8,28.6,0
21,8,29.4,0
22,8,29.5,0
23,8,29.2,0
24,8,30.1,0
25,8,29.4,0
26,8,25.0,0
27,8,26.3,0
28,8,27.1,0
29,8,30.2,0
30,8,27.9,0
31,8,29.0,0
1,9,26.6,0
2,9,25.6,0
3,9,24.6,0
4,9,24.7,0
5,9,24.4,0
6,9,23.0,0
7,9,22.1,0
8,9,22.9,0
9,9,20.1,0
10,9,20.6,0
11,9,21.1,0
12,9,21.8,0
13,9,23.0,0
14,9,23.6,0
15,9,21.7,0
16,9,22.9,0
17,9,23.9,0
18,9,23.4,0
19,9,21.7,0
20,9,23.1,0
21,9,20.5,0
22,9,16.5,0
23,9,15.3,0
24,9,16.3,0
25,9,19.8,0
26,9,21.1,0
27,9,20.7,0
28,9,19.3,0
29,9,17.7,0
30,9,16.8,0
1,10,15.2,0
2,10,15.2,0
3,10,15.7,0
4,10,16.1,0
5,10,15.4,0
6,10,14.7,0
7,10,15.7,0
8,10,14.6,0
9,10,13.2,0
10,10,13.8,0
11,10,14.8,0
12,10,14.8,0
13,10,13.2,0
14,10,12.1,0
15,10,13.2,0
16,10,16.0,0
17,10,13.5,0
18,10,12.9,0
19,10,13.7,0
20,10,12.9,0
21,10,12.4,0
22,10,14.6,0
23,10,15.7,0
24,10,12.5,0
25,10,9.8,0
26,10,9.4,0
27,10,11.1,0
28,10,11.1,0
29,10,11.2,0
30,10,12.8,0
31,10,11.6,0
1,11,13.0,0
2,11,11.4,0
3,11,13.3,0
4,11,16.7,0
5,11,17.1,0
6,11,15.5,0
7,11,14.4,0
8,11,12.5,0
9,11,13.4,0
10,11,8.8,0
11,11,7.4,0
12,11,8.1,0
13,11,6.7,0
14,11,7.9,0
15,11,11.0,0
16,11,10.9,0
17,11,9.2,0
18,11,9.8,0
19,11,9.8,0
20,11,9.0,0
21,11,8.8,0
22,11,9.8,0
23,11,11.5,0
24,11,8.8,0
25,11,6.5,0
26,11,6.7,0
27,11,12.7,0
28,11,15.1,0
29,11,16.8,0
30,11,7.7,0
1,12,5.7,0
2,12,7.8,0
3,12,13.3,0
4,12,9.8,0
5,12,8.4,0
6,12,13.6,0
7,12,12.2,0
8,12,6.2,0
9,12,8.2,0
10,12,13.7,0
11,12,12.1,0
12,12,12.2,0
13,12,7.5,0
14,12,4.0,0
15,12,4.9,0
16,12,4.2,0
17,12,4.8,0
18,12,3.6,1
19,12,3.6,0
20,12,4.8,0
21,12,3.4,0
22,12,0.7,0
23,12,-1.0,0
24,12,0.8,0
25,12,5.8,0
26,12,7.8,0
27,12,13.1,0
28,12,11.9,0
29,12,9.6,0
30,12,6.1,0
31,12,6.7,0
1,1,5.0,0
2,1,8.4,0
3,1,7.1,0
4,1,7.6,0
5,1,10.7,0
6,1,14.9,0
7,1,8.7,0
8,1,7.3,0
9,1,8.5,0
10,1,9.2,0
11,1,4.5,0
12,1,-1.3,0
13,1,-2.6,0
14,1,-1.6,0
15,1,1.8,0
16,1,2.1,0
17,1,2.4,0
18,1,5.4,1
19,1,1.7,0
20,1,2.8,0
21,1,2.0,0
22,1,0.7,1
23,1,0.6,0
24,1,-1.1,0
25,1,-0.4,0
26,1,0.8,0
27,1,5.2,0
28,1,4.4,0
29,1,4.3,0
30,1,2.4,0
31,1,5.6,0
1,2,3.6,0
2,2,1.8,0
3,2,2.9,0
4,2,3.3,0
5,2,3.9,0
6,2,5.6,0
7,2,8.2,0
8,2,5.1,0
9,2,4.9,0
10,2,5.9,0
11,2,5.5,0
12,2,7.7,0
13,2,6.0,0
14,2,4.4,0
15,2,5.4,0
16,2,7.6,0
17,2,9.8,0
18,2,10.9,0
19,2,7.3,0
20,2,8.2,0
21,2,10.3,0
22,2,11.3,0
23,2,8.7,0
24,2,6.8,0
25,2,7.3,0
26,2,6.8,0
27,2,6.2,0
28,2,2.7,0
1,3,2.1,0
2,3,2.0,0
3,3,4.1,0
4,3,6.0,0
5,3,5.6,0
6,3,5.3,0
7,3,4.1,0
8,3,4.2,0
9,3,2.6,0
10,3,0.9,0
11,3,-0.8,0
12,3,-0.6,0
13,3,4.4,0
14,3,4.1,0
15,3,4.4,0
16,3,4.5,0
17,3,5.6,0
18,3,2.2,0
19,3,1.0,0
20,3,2.8,0
21,3,4.1,0
22,3,7.4,0
23,3,8.1,0
24,3,9.6,0
25,3,10.1,0
26,3,9.3,0
27,3,11.2,0
28,3,12.0,0
29,3,14.5,0
30,3,14.4,0
31,3,14.8,0
1,4,17.9,0
2,4,17.5,0
3,4,12.7,0
4,4,10.1,0
5,4,11.0,0
6,4,11.8,0
7,4,13.5,0
8,4,19.0,1
9,4,17.1,0
10,4,15.9,0
11,4,9.2,0
12,4,10.7,0
13,4,11.0,0
14,4,12.6,0
15,4,14.8,0
16,4,19.4,0
17,4,9.5,0
18,4,6.5,1
19,4,9.1,1
20,4,12.7,1
21,4,13.7,1
22,4,17.5,0
23,4,21.3,0
24,4,22.9,0
25,4,18.5,0
26,4,19.4,0
27,4,19.2,0
28,4,18.4,0
29,4,21.3,0
30,4,18.6,0
1,5,18.6,0
2,5,18.3,0
3,5,12.2,1
4,5,17.3,1
5,5,20.0,0
6,5,18.5,0
7,5,17.1,0
8,5,17.8,0
9,5,17.0,0
10,5,18.3,0
11,5,20.5,0
12,5,22.6,0
13,5,24.1,0
14,5,23.9,0
15,5,23.5,1
16,5,24.3,0
17,5,26.6,0
18,5,16.9,1
19,5,19.3,0
20,5,23.7,0
21,5,24.3,0
22,5,24.4,0
23,5,24.8,0
24,5,21.4,1
25,5,25.3,0
26,5,27.2,1
27,5,28.1,0
28,5,26.9,1
29,5,28.9,0
30,5,27.3,0
31,5,27.3,0
1,6,26.3,1
2,6,26.1,0
3,6,26.7,0
4,6,27.3,0
5,6,26.1,1
6,6,22.9,1
7,6,21.1,1
8,6,22.1,0
9,6,21.3,1
10,6,20.7,1
11,6,21.1,1
12,6,20.3,1
13,6,24.9,1
14,6,24.2,0
15,6,23.8,0
16,6,23.0,1
17,6,22.8,0
18,6,21.7,0
19,6,25.3,0
20,6,26.2,0
21,6,28.4,0
22,6,28.7,0
23,6,25.1,0
24,6,25.8,0
25,6,28.3,0
26,6,25.3,0
27,6,29.2,0
28,6,29.2,1
29,6,30.9,1
30,6,31.6,0
1,7,32.2,0
2,7,32.1,0
3,7,30.6,0
4,7,30.3,0
5,7,31.1,0
6,7,31.8,0
7,7,30.3,0
8,7,28.9,0
9,7,28.3,0
10,7,28.3,0
11,7,28.2,1
12,7,27.4,0
13,7,28.4,0
14,7,30.3,0
15,7,31.7,0
16,7,27.4,0
17,7,31.9,0
18,7,25.3,0
19,7,24.2,0
20,7,29.5,0
21,7,31.8,0
22,7,32.1,0
23,7,33.2,0
24,7,33.3,0
25,7,32.3,0
26,7,32.6,0
27,7,33.7,0
28,7,33.0,0
29,7,32.0,0
30,7,28.3,0
31,7,31.8,1
1,8,29.7,1
2,8,30.2,0
3,8,31.2,0
4,8,31.2,0
5,8,32.2,0
6,8,32.2,0
7,8,31.2,0
8,8,32.1,0
9,8,28.3,0
10,8,27.4,1
11,8,29.6,0
12,8,29.1,0
13,8,29.7,1
14,8,28.0,1
15,8,29.3,0
16,8,30.1,0
17,8,32.3,0
18,8,34.4,0
19,8,33.7,0
20,8,32.2,0
21,8,29.7,0
22,8,30.7,1
23,8,29.7,1
24,8,28.9,0
25,8,26.8,1
26,8,24.6,1
27,8,29.4,1
28,8,31.6,0
29,8,31.9,0
30,8,31.4,0
31,8,30.0,0
1,9,29.6,0
2,9,27.8,1
3,9,26.8,1
4,9,24.3,0
5,9,24.1,0
6,9,23.8,0
7,9,24.7,0
8,9,25.9,0
9,9,26.9,0
10,9,28.8,0
11,9,28.6,0
12,9,24.4,1
13,9,23.1,0
14,9,23.2,0
15,9,25.6,0
16,9,29.2,0
17,9,26.1,0
18,9,21.7,1
19,9,21.3,0
20,9,17.4,0
21,9,15.4,0
22,9,15.5,0
23,9,14.1,0
24,9,14.7,0
25,9,17.3,0
26,9,18.4,0
27,9,21.1,1
28,9,22.5,1
29,9,22.8,0
30,9,23.3,0
1,10,23.1,0
2,10,21.7,1
3,10,17.3,0
4,10,16.3,0
5,10,16.0,0
6,10,16.2,0
7,10,19.7,0
8,10,17.5,0
9,10,17.5,0
10,10,18.0,0
11,10,17.3,0
12,10,17.6,1
13,10,16.8,0
14,10,15.9,1
15,10,14.3,1
16,10,14.5,0
17,10,14.1,0
18,10,14.8,0
19,10,14.5,0
20,10,14.1,0
21,10,13.0,0
22,10,12.1,0
23,10,16.1,0
24,10,19.4,0
25,10,17.2,0
26,10,21.5,0
27,10,17.5,0
28,10,16.1,0
29,10,14.8,0
30,10,14.8,0
31,10,16.8,0
1,11,16.1,0
2,11,15.9,0
3,11,15.4,0
4,11,14.5,0
5,11,15.9,0
6,11,16.2,0
7,11,14.9,0
8,11,12.5,0
9,11,11.7,0
10,11,11.2,0
11,11,11.1,1
12,11,11.8,1
13,11,12.7,0
14,11,10.8,0
15,11,10.2,0
16,11,8.6,0
17,11,15.0,1
18,11,15.3,0
19,11,19.0,1
20,11,19.6,0
21,11,18.3,1
22,11,12.7,1
23,11,13.4,1
24,11,12.2,0
25,11,10.3,0
26,11,7.3,0
27,11,6.4,0
28,11,6.2,1
29,11,6.3,1
30,11,9.0,1
1,12,7.6,1
2,12,6.3,2
3,12,8.2,0
4,12,8.7,0
5,12,8.7,0
6,12,10.0,1
7,12,10.4,0
8,12,12.1,1
9,12,11.8,0
10,12,16.8,1
11,12,16.9,1
12,12,11.8,1
13,12,6.0,1
14,12,3.5,0
15,12,8.5,1
16,12,11.8,0
17,12,16.5,0
18,12,10.9,1
19,12,4.3,1
20,12,2.4,0
21,12,3.1,0
22,12,2.9,0
23,12,2.1,0
24,12,2.2,0
25,12,8.3,0
26,12,6.4,0
27,12,4.8,0
28,12,8.9,0
29,12,5.9,0
30,12,3.8,0
31,12,5.6,0
1,1,3.6,0
2,1,2.9,0
3,1,4.1,0
4,1,9.3,0
5,1,9.3,0
6,1,9.6,0
7,1,6.9,0
8,1,5.0,0
9,1,3.1,0
10,1,10.2,1
11,1,8.3,1
12,1,7.4,1
13,1,6.0,1
14,1,6.9,1
15,1,6.7,0
16,1,7.5,0
17,1,13.0,1
18,1,15.8,1
19,1,16.1,0
20,1,12.6,1
21,1,10.5,1
22,1,12.9,0
23,1,9.6,0
24,1,5.0,0
25,1,2.3,0
26,1,4.7,1
27,1,5.8,1
28,1,4.8,1
29,1,3.2,0
30,1,2.3,1
31,1,2.4,1
1,2,6.9,0
2,2,6.1,1
3,2,4.7,1
4,2,3.8,1
5,2,1.0,0
6,2,0.9,0
7,2,0.9,0
8,2,0.9,0
9,2,1.6,0
10,2,3.5,0
11,2,0.6,0
12,2,1.3,0
13,2,4.2,0
14,2,3.6,0
15,2,5.9,0
16,2,4.3,0
17,2,7.1,0
18,2,8.2,0
19,2,12.6,0
20,2,12.3,0
21,2,11.9,0
22,2,11.2,0
23,2,9.7,0
24,2,10.1,0
25,2,11.4,0
26,2,15.2,0
27,2,16.6,1
28,2,12.3,1
1,3,8.2,1
2,3,6.9,0
3,3,8.6,0
4,3,8.1,1
5,3,8.5,1
6,3,10.0,0
7,3,12.1,0
8,3,12.2,1
9,3,13.1,0
10,3,13.6,1
11,3,15.0,1
12,3,10.1,1
13,3,7.8,0
14,3,7.0,0
15,3,8.8,1
16,3,8.5,1
17,3,7.0,1
18,3,7.4,1
19,3,10.6,1
20,3,10.0,0
21,3,12.7,0
22,3,11.2,1
23,3,10.6,1
24,3,10.3,0
25,3,13.1,0
26,3,15.3,1
27,3,14.0,1
28,3,8.8,1
29,3,6.8,1
30,3,7.3,0
31,3,11.4,0
1,4,14.7,1
2,4,14.5,1
3,4,12.4,1
4,4,13.4,1
5,4,8.3,1
6,4,9.3,1
7,4,9.9,1
8,4,11.2,1
9,4,10.9,0
10,4,9.1,1
11,4,9.9,1
12,4,12.1,1
13,4,13.6,0
14,4,15.8,0
15,4,16.2,1
16,4,15.0,1
17,4,14.3,1
18,4,12.6,1
19,4,13.1,1
20,4,16.5,1
21,4,14.2,1
22,4,14.2,1
23,4,14.2,0
24,4,13.7,0
25,4,14.6,1
26,4,14.4,1
27,4,12.7,2
28,4,13.1,0
29,4,15.2,0
30,4,14.1,0
1,5,17.3,1
2,5,15.5,0
3,5,14.1,1
4,5,15.3,1
5,5,17.0,0
6,5,16.9,1
7,5,17.2,0
8,5,16.7,0
9,5,14.5,0
10,5,13.1,1
11,5,12.9,0
12,5,13.9,0
13,5,14.5,0
14,5,15.2,1
15,5,19.2,0
16,5,23.6,1
17,5,16.5,1
18,5,15.5,1
19,5,18.7,1
20,5,18.3,1
21,5,19.6,1
22,5,22.8,0
23,5,18.6,1
24,5,19.2,1
25,5,18.8,1
26,5,20.2,1
27,5,19.9,1
28,5,19.5,1
29,5,20.1,1
30,5,19.9,1
31,5,21.7,0
1,6,21.7,0
2,6,21.8,0
3,6,21.6,0
4,6,21.5,1
5,6,21.2,0
6,6,20.4,0
7,6,21.1,0
8,6,21.0,0
9,6,22.3,0
10,6,23.8,0
11,6,24.1,0
12,6,22.0,1
13,6,21.3,0
14,6,23.5,0
15,6,23.9,0
16,6,22.8,1
17,6,21.2,1
18,6,22.9,1
19,6,24.5,1
20,6,23.2,1
21,6,24.8,0
22,6,26.4,0
23,6,26.9,0
24,6,30.6,0
25,6,29.9,0
26,6,23.7,1
27,6,30.0,1
28,6,25.6,0
29,6,22.1,1
30,6,23.8,0
1,7,25.2,0
2,7,25.4,1
3,7,26.0,1
4,7,28.0,0
5,7,27.7,0
6,7,30.1,0
7,7,27.3,1
8,7,26.4,1
9,7,25.4,0
10,7,26.8,0
11,7,28.3,0
12,7,30.4,0
13,7,31.6,0
14,7,32.2,0
15,7,30.1,0
16,7,29.0,0
17,7,28.3,0
18,7,28.9,0
19,7,30.0,0
20,7,29.6,0
21,7,30.7,0
22,7,30.4,0
23,7,31.4,0
24,7,28.3,0
25,7,29.3,0
26,7,31.8,0
27,7,25.2,1
28,7,23.1,0
29,7,25.3,0
30,7,26.8,0
31,7,25.9,1
1,8,26.6,0
2,8,28.0,0
3,8,30.4,0
4,8,31.7,0
5,8,29.7,0
6,8,28.1,1
7,8,27.5,0
8,8,24.4,0
9,8,23.4,0
10,8,22.9,0
11,8,24.4,1
12,8,25.1,0
13,8,25.4,0
14,8,26.1,0
15,8,26.6,0
16,8,27.7,0
17,8,28.1,0
18,8,28.1,0
19,8,27.3,1
20,8,28.5,0
21,8,30.2,0
22,8,30.5,0
23,8,30.4,0
24,8,29.0,1
25,8,28.7,0
26,8,28.9,0
27,8,27.3,0
28,8,26.9,0
29,8,27.6,0
30,8,27.6,0
31,8,26.7,0
1,9,26.8,0
2,9,26.6,0
3,9,25.8,0
4,9,22.8,1
5,9,20.8,1
6,9,23.6,1
7,9,24.4,0
8,9,23.8,1
9,9,23.0,0
10,9,22.1,1
11,9,21.1,0
12,9,22.0,0
13,9,23.0,0
14,9,23.5,0
15,9,27.4,0
16,9,25.4,0
17,9,23.3,1
18,9,21.7,0
19,9,22.4,0
20,9,23.1,0
21,9,23.0,0
22,9,24.8,0
23,9,26.6,0
24,9,27.3,0
25,9,24.2,0
26,9,23.9,0
27,9,23.3,1
28,9,21.6,1
29,9,21.3,1
30,9,22.3,0
1,10,21.5,0
2,10,20.6,0
3,10,18.8,0
4,10,17.7,0
5,10,21.3,0
6,10,19.8,0
7,10,20.8,0
8,10,20.2,0
9,10,18.0,0
10,10,17.3,0
11,10,17.4,0
12,10,18.5,0
13,10,17.7,0
14,10,19.7,0
15,10,18.4,0
16,10,15.7,1
17,10,13.6,0
18,10,14.6,1
19,10,14.9,0
20,10,18.4,0
21,10,21.4,0
22,10,20.8,0
23,10,20.5,0
24,10,20.4,0
25,10,20.2,0
26,10,21.5,0
27,10,21.5,0
28,10,23.0,0
29,10,20.6,1
30,10,19.6,0
31,10,16.6,0
1,11,21.2,0
2,11,17.6,1
3,11,18.2,1
4,11,20.4,1
5,11,16.4,0
6,11,19.4,0
7,11,17.1,0
8,11,17.7,1
9,11,13.8,1
10,11,11.3,0
11,11,15.3,1
12,11,13.4,0
13,11,11.7,2
14,11,11.0,0
15,11,14.3,0
16,11,14.0,1
17,11,11.6,0
18,11,9.6,1
19,11,8.8,1
20,11,7.8,0
21,11,9.7,0
22,11,14.6,1
23,11,10.9,1
24,11,13.3,0
25,11,13.8,1
26,11,3.8,1
27,11,3.4,0
28,11,7.0,1
29,11,12.3,1
30,11,8.8,0
1,12,11.6,0
2,12,16.8,0
3,12,17.9,1
