Tarih,Tahmin,Yağış Yok %,Yağmur %,Kar %,Nem %,Rüzgar m/s,Yağış mm
2025-07-27,Yağmur,23.64,76.19,0.17,67,19.7,0.0
2025-07-28,Yağış Yok,94.26,5.68,0.06,79,17.2,0.0
